time,open,high,low,close,volume
2020-01-06 10:24:00,108.051,108.055,108.044,108.048,88
2020-01-06 10:25:00,108.047,108.050,108.024,108.029,144
2020-01-06 10:26:00,108.028,108.041,108.028,108.034,116
2020-01-06 10:27:00,108.035,108.036,108.013,108.013,137
2020-01-06 10:28:00,108.015,108.027,108.004,108.017,98
2020-01-06 10:29:00,108.016,108.021,108.010,108.013,136
2020-01-06 10:30:00,108.013,108.013,107.999,108.000,117
2020-01-06 10:31:00,108.000,108.002,107.994,107.994,95
2020-01-06 10:32:00,107.994,108.000,107.988,107.995,124
2020-01-06 10:33:00,107.995,107.995,107.982,107.985,120
2020-01-06 10:34:00,107.987,108.005,107.984,108.004,116
2020-01-06 10:35:00,108.005,108.007,108.000,108.004,115
2020-01-06 10:36:00,108.003,108.016,108.003,108.008,73
2020-01-06 10:37:00,108.007,108.009,108.002,108.002,100
2020-01-06 10:38:00,108.002,108.002,107.995,107.999,129
2020-01-06 10:39:00,107.998,108.002,107.995,108.001,91
2020-01-06 10:40:00,108.000,108.000,107.978,107.978,97
2020-01-06 10:41:00,107.978,107.980,107.958,107.963,114
2020-01-06 10:42:00,107.963,107.972,107.960,107.965,100
2020-01-06 10:43:00,107.965,107.966,107.949,107.959,135
2020-01-06 10:44:00,107.958,107.971,107.958,107.970,80
2020-01-06 10:45:00,107.969,107.970,107.955,107.968,145
2020-01-06 10:46:00,107.967,107.967,107.955,107.956,75
2020-01-06 10:47:00,107.956,107.959,107.947,107.949,69
2020-01-06 10:48:00,107.950,107.955,107.945,107.949,98
2020-01-06 10:49:00,107.950,107.964,107.945,107.958,121
2020-01-06 10:50:00,107.958,107.960,107.944,107.950,105
2020-01-06 10:51:00,107.951,107.955,107.948,107.953,67
2020-01-06 10:52:00,107.954,107.967,107.949,107.961,95
2020-01-06 10:53:00,107.961,107.966,107.958,107.959,92
2020-01-06 10:54:00,107.957,107.962,107.951,107.953,103
2020-01-06 10:55:00,107.953,107.978,107.952,107.969,170
2020-01-06 10:56:00,107.970,107.970,107.960,107.961,104
2020-01-06 10:57:00,107.963,107.965,107.954,107.961,102
2020-01-06 10:58:00,107.960,107.967,107.958,107.966,75
2020-01-06 10:59:00,107.966,107.973,107.963,107.969,147
2020-01-06 11:00:00,107.967,107.997,107.967,107.996,166
2020-01-06 11:01:00,107.991,108.001,107.990,108.001,86
2020-01-06 11:02:00,108.001,108.010,108.000,108.010,128
2020-01-06 11:03:00,108.008,108.020,108.004,108.018,136
2020-01-06 11:04:00,108.018,108.029,108.017,108.025,113
2020-01-06 11:05:00,108.022,108.022,108.001,108.001,61
2020-01-06 11:06:00,108.001,108.007,107.996,108.000,65
2020-01-06 11:07:00,108.001,108.002,107.980,107.983,79
2020-01-06 11:08:00,107.983,107.983,107.972,107.978,85
2020-01-06 11:09:00,107.979,107.987,107.977,107.985,56
2020-01-06 11:10:00,107.984,107.988,107.966,107.970,76
2020-01-06 11:11:00,107.971,107.972,107.963,107.965,68
2020-01-06 11:12:00,107.965,107.969,107.960,107.966,49
2020-01-06 11:13:00,107.967,107.967,107.959,107.960,61
2020-01-06 11:14:00,107.960,107.964,107.959,107.961,46
2020-01-06 11:15:00,107.962,107.965,107.958,107.960,67
2020-01-06 11:16:00,107.959,107.966,107.958,107.961,68
2020-01-06 11:17:00,107.962,107.966,107.960,107.965,32
2020-01-06 11:18:00,107.966,107.967,107.959,107.960,36
2020-01-06 11:19:00,107.960,107.965,107.957,107.961,64
2020-01-06 11:20:00,107.961,107.968,107.959,107.966,60
2020-01-06 11:21:00,107.965,107.967,107.959,107.961,68
2020-01-06 11:22:00,107.962,107.967,107.952,107.960,101
2020-01-06 11:23:00,107.959,107.961,107.954,107.959,58
2020-01-06 11:24:00,107.959,107.961,107.951,107.951,48
2020-01-06 11:25:00,107.950,107.956,107.949,107.956,51
2020-01-06 11:26:00,107.958,107.961,107.952,107.952,39
2020-01-06 11:27:00,107.953,107.959,107.938,107.943,80
2020-01-06 11:28:00,107.944,107.951,107.941,107.942,81
2020-01-06 11:29:00,107.943,107.950,107.943,107.944,63
2020-01-06 11:30:00,107.945,107.948,107.936,107.937,79
2020-01-06 11:31:00,107.938,107.938,107.925,107.928,85
2020-01-06 11:32:00,107.927,107.932,107.920,107.922,128
2020-01-06 11:33:00,107.920,107.931,107.920,107.926,96
2020-01-06 11:34:00,107.928,107.931,107.920,107.924,90
2020-01-06 11:35:00,107.925,107.937,107.925,107.933,113
2020-01-06 11:36:00,107.931,107.937,107.931,107.937,75
2020-01-06 11:37:00,107.938,107.951,107.938,107.951,81
2020-01-06 11:38:00,107.950,107.955,107.948,107.955,64
2020-01-06 11:39:00,107.956,107.956,107.946,107.950,78
2020-01-06 11:40:00,107.950,107.956,107.950,107.955,85
2020-01-06 11:41:00,107.955,107.956,107.950,107.955,97
2020-01-06 11:42:00,107.957,107.980,107.955,107.971,175
2020-01-06 11:43:00,107.970,107.976,107.959,107.963,122
2020-01-06 11:44:00,107.964,107.964,107.941,107.959,88
2020-01-06 11:45:00,107.958,107.962,107.956,107.961,68
2020-01-06 11:46:00,107.960,107.961,107.959,107.961,49
2020-01-06 11:47:00,107.961,107.973,107.961,107.972,67
2020-01-06 11:48:00,107.972,107.981,107.971,107.979,101
2020-01-06 11:49:00,107.980,107.994,107.980,107.994,88
2020-01-06 11:50:00,107.994,108.009,107.994,107.998,101
2020-01-06 11:51:00,107.997,108.002,107.995,107.997,95
2020-01-06 11:52:00,107.997,107.999,107.985,107.989,72
2020-01-06 11:53:00,107.990,107.994,107.980,107.980,96
2020-01-06 11:54:00,107.979,107.994,107.976,107.994,127
2020-01-06 11:55:00,107.993,107.994,107.980,107.980,85
2020-01-06 11:56:00,107.979,107.982,107.977,107.979,46
2020-01-06 11:57:00,107.980,107.980,107.975,107.976,52
2020-01-06 11:58:00,107.977,107.984,107.977,107.982,59
2020-01-06 11:59:00,107.981,107.985,107.978,107.979,76
2020-01-06 12:00:00,107.978,107.986,107.978,107.981,97
2020-01-06 12:01:00,107.980,107.982,107.974,107.977,47
2020-01-06 12:02:00,107.978,107.995,107.977,107.994,48
2020-01-06 12:03:00,107.996,108.003,107.991,107.993,51
2020-01-06 12:04:00,107.993,108.008,107.991,108.008,79
2020-01-06 12:05:00,108.007,108.021,108.006,108.020,63
2020-01-06 12:06:00,108.020,108.020,108.006,108.008,73
2020-01-06 12:07:00,108.007,108.014,108.004,108.007,69
2020-01-06 12:08:00,108.007,108.021,108.007,108.017,70
2020-01-06 12:09:00,108.018,108.027,108.018,108.025,70
2020-01-06 12:10:00,108.025,108.029,108.022,108.022,79
2020-01-06 12:11:00,108.020,108.021,108.007,108.018,74
2020-01-06 12:12:00,108.015,108.022,108.013,108.014,83
2020-01-06 12:13:00,108.015,108.015,108.005,108.012,82
2020-01-06 12:14:00,108.012,108.012,108.007,108.012,53
2020-01-06 12:15:00,108.012,108.012,108.006,108.007,59
2020-01-06 12:16:00,108.007,108.026,108.005,108.016,90
2020-01-06 12:17:00,108.017,108.019,108.015,108.018,58
2020-01-06 12:18:00,108.019,108.023,108.018,108.020,33
2020-01-06 12:19:00,108.020,108.021,108.013,108.017,59
2020-01-06 12:20:00,108.018,108.028,108.017,108.026,46
2020-01-06 12:21:00,108.025,108.026,108.019,108.020,44
2020-01-06 12:22:00,108.020,108.020,108.000,108.000,76
2020-01-06 12:23:00,108.000,108.000,107.993,108.000,57
2020-01-06 12:24:00,108.001,108.018,108.000,108.017,59
2020-01-06 12:25:00,108.016,108.016,107.997,107.997,82
2020-01-06 12:26:00,107.998,108.005,107.994,107.994,52
2020-01-06 12:27:00,107.994,108.002,107.990,108.002,72
2020-01-06 12:28:00,108.004,108.009,107.994,107.995,67
2020-01-06 12:29:00,107.995,107.995,107.989,107.990,39
2020-01-06 12:30:00,107.989,108.001,107.989,107.992,76
2020-01-06 12:31:00,107.992,107.995,107.988,107.988,40
2020-01-06 12:32:00,107.989,107.989,107.983,107.986,49
2020-01-06 12:33:00,107.985,107.989,107.977,107.988,34
2020-01-06 12:34:00,107.987,107.989,107.983,107.987,47
2020-01-06 12:35:00,107.987,107.991,107.978,107.991,66
2020-01-06 12:36:00,107.990,107.994,107.985,107.990,38
